"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\Javascript\loadCategory.js", "JavaScript", 0, 0, 26, 0, 5, 31
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\Javascript\loadProduct.js", "JavaScript", 0, 0, 22, 0, 3, 25
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\Javascript\product.js", "JavaScript", 0, 0, 31, 6, 7, 44
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\Javascript\slideshow.js", "JavaScript", 0, 0, 27, 0, 8, 35
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\html-css\category.html", "HTML", 31, 0, 0, 0, 1, 32
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\html-css\contact.html", "HTML", 35, 0, 0, 0, 0, 35
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\html-css\index.html", "HTML", 79, 0, 0, 0, 1, 80
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\html-css\product.html", "HTML", 41, 0, 0, 0, 0, 41
"c:\Users\tijsw\OneDrive\Bureaublad\Programming\Webshop\html-css\theme.css", "CSS", 0, 368, 0, 7, 54, 429
"Total", "-", 186, 368, 106, 13, 79, 752